Room,Name,Item,Logic,Status,Comment,Aloha Comment,Original (before Aloha edits),Final Logic?,,,,,,,,,,,
Garden 2,Garden 2 - Left Lever,garden02left_lever,"Garden02Right + (high_jump | double_jump + dodge + wall_grab)
| (Garden02LowerRight + (Garden02LowerRightLeft_Lever | Garden02LowerRightRight_Lever)) + (high_jump | double_jump + dodge + wall_grab)",Done,Do we need to denote the actual Lever actor itself? might help with clarity in this stupid area,"Changes: Added dodge as required
Removed LowerLeft as it is impossible to hit this lever from that entrance","Garden02Right + (high_jump | double_jump + wall_grab)
| (Garden02LowerRight + (Garden02LowerRightLeft_Lever | Garden02LowerRightRight_Lever)) + (high_jump | double_jump + wall_grab)
| Garden02LowerLeft","Garden02Right + (high_jump | double_jump + dodge + wall_grab)
| (Garden02LowerRight + (Garden02LowerRightLeft_Lever | Garden02LowerRightRight_Lever)) + (high_jump | double_jump + dodge + wall_grab)",,,,,,,,,,,Garden 2 - Left Lever
Garden 2,Garden 2 - Lower Left Lever,garden02lowerleft_lever,Garden02LowerLeft,Done,,,,Garden02LowerLeft,,,,,,,,,,,Garden 2 - Lower Left Lever
Garden 2,Garden 2 - Lower Right Left Lever,garden02lowerrightleft_lever,Garden02LowerRight,Unsure,,"is this true? if anything, LowerRight is the only entrance that cant access these?",Pending clarification,Garden02LowerRight,,,,,,,,,,,Garden 2 - Lower Right Left Lever
Garden 2,Garden 2 - Lower Right Right Lever,garden02lowerrightright_lever,Garden02LowerRight,Unsure,,"is this true? if anything, LowerRight is the only entrance that cant access these?",Pending clarification,Garden02LowerRight,"Naming convention of levers is like:
BP_Interactable_Door_C_0

 LIST of Garden2 Levers
C0 : is labeled 13 in screenshot; required for treasure box c1
C1: lever for Student1 door
C4 : lever to enter area for Student1 from vertical drop
C5 : lever for LowerRight Right side
C6 : dubbed ""CenterLever"" , supports unique Left scenarios
C7 : lever for LowerRight Left side
C8 : this lever required to enter from Left areas
C10: lever for C8 access
C11: lever for Student3 door
C12: lever for exiting LowerLeft",,,,,,,,,,Garden 2 - Lower Right Right Lever
Garden 2,Garden 2 - Center Lever,garden02center_lever,"Garden02Right | 
Garden02LowerRight + (Garden02LowerRightLeft_Lever | Garden02LowerRightRight_Lever + (high_jump | double_jump + wall_grab)) |
Garden02Left + (Garden02Left_Lever + (high_jump | double_jump + wall_grab) | (hook | wall_grab) + double_jump | hook + wall_grab + dodge) | 
Garden02LowerLeft + Garden02LowerLeft_Lever + Garden02Left_Lever + ((hook | wall_grab) + double_jump | hook + wall_grab + dodge)",,,,,"Garden02Right | 
Garden02LowerRight + (Garden02LowerRightLeft_Lever | Garden02LowerRightRight_Lever + (high_jump | double_jump + wall_grab)) |
Garden02Left + (Garden02Left_Lever + (high_jump | double_jump + wall_grab) | hook + (double_jump | wall_grab + dodge)) | 
Garden02LowerLeft + Garden02LowerLeft_Lever + Garden02Left_Lever + (high_jump | (hook | wall_grab) + double_jump | hook + wall_grab + dodge)",,,,,,,,,,,Garden 2 - Center Lever
Garden 2,Garden 2 - Student 1,EVT_ev_n_Student_a_001,"(Garden02Right + (high_jump | wall_grab))
| (Garden02LowerRight + (garden02lowerrightright_lever | Garden02LowerRightLeft_Lever) + (high_jump | (wall_grab + double_jump))) 
| ((Garden02Left | Garden02LowerLeft) + (high_jump | (hook + double_jump + wall_grab)))",Not Labbed,"(Garden02Right + (high_jump | wall_grab))
| (Garden02LowerRight + (garden02lowerrightright_lever | Garden02LowerRightLeft_Lever) + (high_jump | (wall_grab + double_jump))) 
| ((Garden02Left | Garden02LowerLeft) + (high_jump | (hook + double_jump + wall_grab)))","from right.. high_jump | double_jump + wall_grab
lowerRight should be same as right + lever
from left... high_jump | double_jump + wall_grab + lever
lowerLeft same as left

i dont see need for hook, doesnt add anything
is that RightLever reference named correctly?","(Garden02Right + (high_jump | wall_grab + double_jump))
| (Garden02LowerRight + (Garden02LowerRightRight_Lever | Garden02LowerRightLeft_Lever) + (high_jump | (wall_grab + double_jump))) 
| ((Garden02Left | Garden02LowerLeft) + lever?? + (high_jump | (double_jump + wall_grab)))","(Garden02Right + (high_jump | wall_grab + double_jump))
| (Garden02LowerRight + (Garden02LowerRightRight_Lever | Garden02LowerRightLeft_Lever) + (high_jump | (wall_grab + double_jump))) 
| ((Garden02Left | Garden02LowerLeft) + (high_jump | (double_jump + wall_grab)))",,,,,,,,,,,
Garden 2,Garden 2 - Student 2,EVT_ev_n_Student_b_001,(Garden02Right | (Garden02LowerRight + (Garden02LowerRightLeft_Lever | garden02lowerrightright_lever)) | (Garden02Left | Garden02LowerLeft + (garden02lowerleft_lever + Garden02Left_Lever)))  + (high_jump | (wall_grab + double_jump + dodge)),Not Labbed,,"from right.. high_jump | wall_grab + double_jump + dodge : seems good
only differences from other directions would be levers

might need to double check lever references, but seems good
is that RightLever reference named correctly?",,(Garden02Right | (Garden02LowerRight + (Garden02LowerRightLeft_Lever | garden02lowerrightright_lever)) | (Garden02Left | Garden02LowerLeft + (garden02lowerleft_lever + Garden02Left_Lever)))  + (high_jump | (wall_grab + double_jump + dodge)),,,,,,,,,,,
Garden 2,Garden 2 - Student 3,EVT_ev_n_Student_c_001,"(Garden02Right + (high_jump | wall_grab + (double_jump | dodge)))
| (Garden02LowerRight + (garden02lowerrightright_lever | Garden02LowerRightLeft_Lever) + (high_jump | (wall_grab + double_jump))) 
| ((Garden02Left | Garden02LowerLeft) + (Garden02LowerLeft_Lever + Garden02Left_Lever) + (high_jump | (hook + double_jump + wall_grab)))",Not Labbed,NOTE: this is assuming the player returns to respite after hitting the lever instead of getting stuck in a room with a pile_attack requirement to leave,"that usage of dodge is sneaky, but it works. right is good
LowerRight is annoying because it may vary based on which levers?
if only right lever, agreed with current state
if left lever, then could instead be wall_grab + (double_jump | dodge + hook)
from left, similar to lower right left lever: wall_grab + (double_jump | dodge + hook)
is that RightLever reference named correctly?",,"(Garden02Right + (high_jump | wall_grab + (double_jump | dodge)))
| (Garden02LowerRight + (garden02lowerrightright_lever | Garden02LowerRightLeft_Lever) + (high_jump | (wall_grab + double_jump))) 
| ((Garden02Left | Garden02LowerLeft) + (Garden02LowerLeft_Lever + Garden02Left_Lever) + (high_jump | (hook + double_jump + wall_grab)))",,,,,,,,,,,
Garden 6,Garden 6 - Student 1,EVT_ev_n_Student_d_001,"(Garden06Right + (high_jump | (wall_grab + double_jump + (hook | wall_charge)))) 
| (Garden06Left + (high_jump | double_jump))
| Garden06UpperDoor",Not Labbed,,"Garden06Upper -> Garden06UpperDoor
Dodge also works from 06Right, so :  (wall_grab + double_jump + (hook | wall_charge | dodge)))) 
hook + dodge + wall_grab from Left works","(Garden06Right + (high_jump | (wall_grab + double_jump + (dodge | hook | wall_charge)))) 
| (Garden06Left + (high_jump | double_jump | hook + dodge + wall_grab))
| Garden06UpperDoor","(Garden06Right + (high_jump | (wall_grab + double_jump + (dodge | hook | wall_charge)))) 
| (Garden06Left + (high_jump | double_jump | hook + dodge + wall_grab))
| Garden06UpperDoor",,,,,,,,,,,
Garden 6,Garden 6 - Student 2,EVT_ev_n_Student_e_001,"(Garden06Right + (high_jump | (wall_grab + double_jump + (hook | wall_charge)))) 
| (Garden06Left + (high_jump | double_jump))
| (Garden06UpperDoor + (high_jump | hook | WALL_DASH))",Not Labbed,,"fixed red & Garden06Upper -> Garden06UpperDoor
Dodge also works from 06Right, so :  (wall_grab + double_jump + (hook | wall_charge | dodge)))) 
hook + dodge + wall_grab from Left works
UpperDoor can double_jump + dodge as well","(Garden06Right + (high_jump | (wall_grab + double_jump + (hook | wall_charge | dodge)))) 
| (Garden06Left + (high_jump | double_jump | hook + dodge + wall_grab))
| (Garden06UpperDoor + (high_jump | hook | WALL_DASH | double_jump + dodge))","(Garden06Right + (high_jump | (wall_grab + double_jump + (hook | wall_charge | dodge)))) 
| (Garden06Left + (high_jump | double_jump | hook + dodge + wall_grab))
| (Garden06UpperDoor + (high_jump | hook | WALL_DASH | double_jump + dodge))",,,,,,,,,,,
