Room,Door,Lead to,Logic,Status,Notes
Center 1,Center01LeftDoor,Center05CenterDoor,Center01LowerLeft | Center01Lower | Center01RightDoor | Center01UpperLeft,Done,
Center 1,Center01Lower,Street11Upper,Center01LowerLeft | Center01LeftDoor | Center01RightDoor | Center01UpperLeft,Done,
Center 1,Center01LowerLeft,Center02LowerRight,Center01Lower | Center01LeftDoor | Center01RightDoor | Center01UpperLeft,Done,
Center 1,Center01RightDoor,Center04RightDoor,Center01Lower | Center01LeftDoor | Center01LowerLeft | Center01UpperLeft,Done,
Center 1,Center01UpperLeft,Center02UpperRight,Center01Lower | Center01LeftDoor | Center01LowerLeft | Center01RightDoor,Done,
Center 2,Center02LowerRight,Center01LowerLeft,None,Done,
Center 2,Center02UpperRight,Center01UpperLeft,None,Done,
Center 3,Center03CenterLeftDoor,Center05LeftDoor,Center03LeftDoor,Done,
Center 3,Center03CenterRightDoor,Center05RightDoor,Center03RightDoor,Done,
Center 3,Center03LeftDoor,Garden12RightDoor,Center03CenterLeftDoor,Done,
Center 3,Center03RightDoor,Kowloon01LeftDoor,Center03CenterRightDoor,Done,
Center 4,Center04Left,Center05Right,Center04RightDoor,Done,
Center 4,Center04RightDoor,Center01RightDoor,Center04Left,Done,
Center 5,Center05CenterDoor,Center01LeftDoor,Center05LeftDoor | Center05Right | Center05RightDoor,Done,
Center 5,Center05LeftDoor,Center03CenterLeftDoor,Center05CenterDoor | Center05Right | Center05RightDoor,Done,
Center 5,Center05Right,Center04Left,Center05CenterDoor | Center05LeftDoor | Center05RightDoor,Done,
Center 5,Center05RightDoor,Center03CenterRightDoor,Center05CenterDoor | Center05LeftDoor | Center05Right,Done,
Crossroad 1,Crossroad01Lower,Ruins13Upper,Crossroad01Right,Done,
Crossroad 1,Crossroad01Right,Crossroad04LowerLeft,Crossroad01Lower,Done,
Crossroad 2,Crossroad02Left,Crossroad05Right,Crossroad02Right + (double_jump | high_jump | wall_grab),Done,
Crossroad 2,Crossroad02Right,Slum01Left,Crossroad02Left + ((double_jump + dodge) | high_jump),Done,
Crossroad 3,Crossroad03Left,Mine01Right,Crossroad03Right,Done,
Crossroad 3,Crossroad03Right,Crossroad04UpperLeft,Crossroad03Left,Done,
Crossroad 4,Crossroad04LowerLeft,Crossroad01Right,Crossroad04Right,Done,
Crossroad 4,Crossroad04Right,Crossroad05Left,Crossroad04LowerLeft,Done,
Crossroad 4,Crossroad04UpperLeft,Crossroad03Right,(Crossroad04LowerLeft | Crossroad04Right) + key_lower,Done,
Crossroad 5,Crossroad05Left,Crossroad04Right,Crossroad05Right + (double_jump | high_jump | wall_grab),Done,
Crossroad 5,Crossroad05Right,Crossroad02Left,Crossroad05Left + (double_jump | high_jump | wall_grab),Done,
Estate 1,Estate01Left,Estate07UpperRight,Estate01Lower + double_jump + ((high_jump + dodge) | WALL_DASH) ,Done,
Estate 1,Estate01Lower,Estate08Upper,Estate01Left + swim,Done,
Estate 1,Estate01Right,Estate02Left,(Estate01Left + dodge | Estate01Lower) + double_jump + key_owner,Done,
Estate 2,Estate02Left,Estate01Right,Estate02LowerRight | Estate02Upper | Estate02UpperRight,Done,
Estate 2,Estate02LowerRight,Estate03CenterLeft,Estate02Left | Estate02Upper | Estate02UpperRight,Done,
Estate 2,Estate02Upper,Estate05Lower,(Estate02Left | Estate02LowerRight | Estate02UpperRight) + (high_jump | double_jump + WALL_DASH),Done,
Estate 2,Estate02UpperRight,Estate03UpperLeft,(Estate02Left | Estate02Upper | Estate02LowerRight) + (double_jump + wall_grab | high_jump),Done,
Estate 3,Estate03CenterLeft,Estate02LowerRight,Estate03LowerLeft,Done,
Estate 3,Estate03HiddenRight,Estate04Left,None,Done,
Estate 3,Estate03LowerLeft,Estate06Right,Estate03CenterLeft,Done,
Estate 3,Estate03UpperLeft,Estate02UpperRight,Estate03HiddenRight,Done,
Estate 4,Estate04Left,Estate03HiddenRight,None,Done,
Estate 5,Estate05Lower,Estate02Upper,None,Done,
Estate 6,Estate06Lower,Estate09Upper,Estate06Right + swim,Done,
Estate 6,Estate06Right,Estate03LowerLeft,Estate06Lower + Estate06Right_Lever,Done,
Estate 6,Estate06Right_Lever,,Estate06Right,Done,
Estate 7,Estate07Lower,Estate12Upper,Estate07LowerRight + swim,Done,
Estate 7,Estate07LowerRight,Estate08Left,Estate07Lower + swim,Done,
Estate 7,Estate07UpperRight,Estate01Left,None,Done,
Estate 8,Estate08Left,Estate07LowerRight,(Estate08Upper | Estate08Right) + swim,Done,
Estate 8,Estate08Right,Estate09UpperLeft,(Estate08Upper | Estate08Left) + swim,Done,
Estate 8,Estate08Upper,Estate01Lower,(Estate08Left | Estate08Right) + swim,Done,
Estate 9,Estate09HiddenRight,Estate10Left,(Estate09LowerLeft | Estate09Upper | Estate09UpperLeft) + swim,Done,
Estate 9,Estate09LowerLeft,Estate11Right,(Estate09HiddenRight | Estate09Upper | Estate09UpperLeft) + swim,Done,
Estate 9,Estate09Upper,Estate06Lower,(Estate09HiddenRight | Estate09LowerLeft | Estate09UpperLeft) + swim,Done,
Estate 9,Estate09UpperLeft,Estate08Right,(Estate09HiddenRight | Estate09LowerLeft | Estate09Upper) + swim,Done,
Estate 10,Estate10Left,Estate09HiddenRight,None,Done,
Estate 11,Estate11Left,Estate12Right,Estate11Right + swim,Done,
Estate 11,Estate11Right,Estate09LowerLeft,Estate11Left + swim,Done,
Estate 12,Estate12Left,Forest09LowerRight,(Estate12Right | Estate12Upper) + swim,Done,
Estate 12,Estate12Right,Estate11Left,(Estate12Left | Estate12Upper) + swim,Done,
Estate 12,Estate12Upper,Estate07Lower,(Estate12Left | Estate12Right) + swim,Done,
Factory 1,Factory01Left,Factory02UpperRight,None,Done,
Factory 2,Factory02HiddenCenterRight,Factory19UpperLeft,"((Factory02UpperRight | Factory02UpperCenterRight | Factory02UpperLeft) + (hook | wall_grab))
| ((Factory02LowerLeft | Factory02LowerRight) + high_jump | (hook + wall_grab))",Done,
Factory 2,Factory02LowerLeft,Factory04Right,"(Factory02UpperLeft | Factory02LowerRight | Factory02HiddenRight | Factory02UpperCenterRight | Factory02UpperRight) 
+ dive",Done,
Factory 2,Factory02LowerRight,Factory19LowerLeft,"(Factory02UpperLeft | Factory02LowerLeft | Factory02HiddenRight | Factory02UpperCenterRight | Factory02UpperRight) 
+ dive",Done,
Factory 2,Factory02UpperCenterRight,Factory03Left,"((Factory02LowerLeft | Factory02LowerRight | Factory02HiddenRight) + (high_jump | hook)) 
| (Factory02UpperLeft | Factory02UpperRight)",Done,
Factory 2,Factory02UpperLeft,Factory05Right,"((Factory02LowerLeft | Factory02LowerRight | Factory02HiddenRight | Factory02UpperLeft | Factory02UpperRight) + (high_jump | hook)) 
| (Factory01Left + (double_jump + dodge + WALL_DASH))",Unsure,Can WALL_DASH from Factory01
Factory 2,Factory02UpperRight,Factory01Left,"((Factory02UpperLeft + ((wall_grab + double_jump) | high_jump) | WALL_DASH) 
| ((Factory02LowerLeft | Factory02LowerRight) + ((hook + wall_grab + double_jump) | high_jump 
| (Factory02UpperCenterRight + (double_jump + wall_grab) | high_jump))",Done,
Factory 3,Factory03Left,Factory02UpperCenterRight,Factory03Right,Done,
Factory 3,Factory03Right,Garden14Left,Factory03Left + (double_jump | high_jump | wall_grab),Done,
Factory 4,Factory04Left,Factory06Right,Factory04Right,Done,
Factory 4,Factory04Right,Factory02LowerLeft,Factory04Left + dive,Done,
Factory 5,Factory05Left,Factory09Right,Factory05Upper | (Factory05Right + wall_grab | high_jump | (dodge + double_jump)),Done,
Factory 5,Factory05Right,Factory02UpperLeft,(FactoryLeft | Factory05Upper) + (dodge | double_jump | wall_grab | high_jump),Done,Should we be using worst case scenario being boxes are broken during combat locking certain movement through this room
Factory 5,Factory05Upper,Factory12Lower,"(Factory05Left 
| (Factory05Right + (wall_grab | (double_jump + dodge))) 
+ high_jump)",Done,
Factory 6,Factory06LowerLeft,Factory10Right,Factory06Right | Factory06UpperLeft | Factory06Upper,Done,
Factory 6,Factory06Right,Factory04Left,"(Factory06Left + (double_jump | dodge)) 
| ((Factory06UpperLeft | Factory06Upper) + (double_jump | dodge | wall_grab | dash_charge))",Done,Should we include dash_charge from upper platforms to reach the lower right?
Factory 6,Factory06Upper,Factory09Lower,"((Factory06Left | Factory06Right) + (double_jump + dodge + (high_jump | hook) | (high_jump | WALL_DASH + (double_jump | dodge))) 
| (Factory06UpperLeft + (hook + (double_jump | dodge)) | (WALL_DASH + (dodge | double_jump)) | high_jump)",Done,
Factory 6,Factory06UpperLeft,Factory07Right,"((Factory06Left | Factory06Right) + ((double_jump + dodge) | high_jump)) 
| Factory06Upper",Done,
Factory 7,Factory07Left,Factory08UpperRight,Factory07Right,Done,
Factory 7,Factory07Right,Factory06UpperLeft,Factory07Left,Done,
Factory 8,Factory08LowerRight,Factory10Left,Factory08UpperRight + ((hook + dodge) | double_jump),Done,
Factory 8,Factory08UpperRight,Factory07Left,Factory08LowerRight + (hook + dodge),Done,
Factory 9,Factory09Lower,Factory06Upper,Factory09Right | Factory09Upper,Done,
Factory 9,Factory09Right,Factory05Left,Factory09Lower | Factory09Upper,Done,
Factory 9,Factory09Upper,Factory11Lower,"(Factory09Lower | Factory09Right) 
+ high_jump | (double_jump + wall_grab + hook + (dodge | wall_charge))",Done,"Hook not needed if you have dodge but is a tight jump, probably shouldn't include in basic logic"
Factory 10,Factory10Left,Factory08LowerRight,Factory10Right,Done,
Factory 10,Factory10Right,Factory06LowerLeft,Factory10Left,Done,
Factory 11,Factory11Lower,Factory09Upper,Factory11Right,Done,
Factory 11,Factory11Right,Factory12Left,Factory11Lower,Done,
Factory 12,Factory12Left,Factory11Right,"(Factory12Upper | Factory12Right) 
+ (high_jump | hook | (WALL_DASH + double_jump))",Done,
Factory 12,Factory12Lower,Factory05Upper,None,Done,
