Room,Name,Item,Logic,Status,Comment,Aloha Suggested (Enhanced version),notes,TODO comments (delete when DONE),,,,,,,,,,,
Garden 2,Garden 2 - Left Lever,garden02left_lever,"Garden02Right + (high_jump | double_jump + dodge + wall_grab)
| (Garden02LowerRight + (Garden02LowerRightLeft_Lever | Garden02LowerRightRight_Lever)) + (high_jump | double_jump + dodge + wall_grab)",Not Labbed,,,,,,,,,,,,,,,Garden 2 - Left Lever
Garden 2,Garden 2 - Lower Left Lever,garden02lowerleft_lever,Garden02LowerLeft,Done,,N/A,,,,,,,,,,,,,Garden 2 - Lower Left Lever
Garden 2,Garden 2 - Lower Right Left Lever,garden02lowerrightleft_lever,Garden02Right,Done,,N/A,,,,,,,,,,,,,Garden 2 - Lower Right Left Lever
Garden 2,Garden 2 - Lower Right Right Lever,garden02lowerrightright_lever,Garden02Right,Done,,N/A,,,,,,,,,,,,,Garden 2 - Lower Right Right Lever
Garden 2,Garden 2 - Center Lever,garden02center_lever,"Garden02Right | 
Garden02LowerRight + (Garden02LowerRightLeft_Lever | Garden02LowerRightRight_Lever + (high_jump | double_jump + wall_grab)) |
Garden02Left + (Garden02Left_Lever + (high_jump | double_jump + wall_grab) | hook + (double_jump | wall_grab + dodge)) | 
Garden02LowerLeft + Garden02LowerLeft_Lever + Garden02Left_Lever + (high_jump | (hook | wall_grab) + double_jump | hook + wall_grab + dodge)",Not Labbed,,,,,,,,,,,,,,,Garden 2 - Center Lever
Garden 2,Garden 2 - Student 1,EVT_ev_n_Student_a_001,"(Garden02Right + (high_jump | wall_grab + double_jump))
| (Garden02LowerRight + (Garden02LowerRightRight_Lever | Garden02LowerRightLeft_Lever) + (high_jump | (wall_grab + double_jump))) 
| ((Garden02Left | Garden02LowerLeft) + (high_jump | (double_jump + wall_grab)))",Not Labbed,SAME AS 69 LOCATIONS LOGIC,SAME AS 69 LOCATIONS LOGIC,SAME AS 69 LOCATIONS LOGIC,"Skipping Students for now

SAME AS 69 LOCATIONS LOGIC","Naming convention of levers is like:
BP_Interactable_Door_C_0

 LIST of Garden2 Levers
C0 : is labeled 13 in screenshot; required for treasure box c1
C1: lever for Student1 door
C4 : lever to enter area for Student1 from vertical drop
C5 : lever for LowerRight Right side
C6 : dubbed ""CenterLever"" , supports unique Left scenarios
C7 : lever for LowerRight Left side
C8 : this lever required to enter from Left areas
C10: lever for C8 access
C11: lever for Student3 door
C12: lever for exiting LowerLeft",,,,,,,,,,
Garden 2,Garden 2 - Student 2,EVT_ev_n_Student_b_001,(Garden02Right | (Garden02LowerRight + (Garden02LowerRightLeft_Lever | garden02lowerrightright_lever)) | (Garden02Left | Garden02LowerLeft + (garden02lowerleft_lever + Garden02Left_Lever)))  + (high_jump | (wall_grab + double_jump + dodge)),Not Labbed,,"Garden02Right + (high_jump | snow + ReiBlast | double_jump + (snow | moon | STALL + grav | FLOWER2 + ReiBlast) | wall_grab + (snow | moon | double_jump | STALL + grav | FLOWER2 | dodge + (scythe | axe))) 
| (Garden02LowerLeft | Garden02Left) + (high_jump + (snow | double_jump + (axe | moon | FLOWER2) | grav + (scythe | sword) + (moon | flower | double_jump | dodge) | axe + grav + (moon | flower | dodge)) | wall_grab + (snow + double_jump + dodge + axe | STALL + grav + double_jump + (snow | dodge) | grav + (scythe | axe) + double_jump + moon))","From Right, there are two main options, Left or Right of the wall gap","Skipping Students for now

From Right: this is probably high_jump | min wall grab reqs | no wall_grab

Lefts can copy row 70?
LowerRight is same as Right regardless of lever!",,,,,,,,,,,
Garden 2,Garden 2 - Student 3,EVT_ev_n_Student_c_001,"(Garden02Right + (high_jump | wall_grab + (double_jump | dodge)))
| (Garden02LowerRight + (garden02lowerrightright_lever | Garden02LowerRightLeft_Lever) + (high_jump | (wall_grab + double_jump))) 
| ((Garden02Left | Garden02LowerLeft) + (Garden02LowerLeft_Lever + Garden02Left_Lever) + (high_jump | (hook + double_jump + wall_grab)))",Not Labbed,NOTE: this is assuming the player returns to respite after hitting the lever instead of getting stuck in a room with a pile_attack requirement to leave,,"Garden02Right + (high_jump | wall_grab + (double_jump | dodge | STALL | RONIN | ReiBlast) | INSERT movement options after warp)
Garden02LowerRight + (LeftLever + (high_jump | wall_grab + (double_jump | dodge | STALL | RONIN | ReiBlast) | INSERT movement options after warp) 
| RightLever + (high_jump | wall_grab + (axe | (scythe | sword) + grav | scythe + dodge | snow | moon | FLOWER2 | double_jump))))

(Garden02LowerLeft | Garden02Left) + (high_jump + (snow | double_jump + (axe | moon | FLOWER2) | grav + (scythe | sword) + (moon | flower | double_jump | dodge) | axe + grav + (moon | flower | dodge)) | wall_grab + (snow + double_jump + dodge + axe | STALL + grav + double_jump + (snow | dodge) | grav + (scythe | axe) + double_jump + moon))","Skipping Students for now

From Right: this is high_jump | wall grab reqs | movement options DIRECTLY out of the warp

From LowerRight: LeftLever is same as Right, RightLever this is high_jump | min wall grab reqs | movement options DIRECTLY out of the warp

Lefts can copy row 70 LOCATIONS LOGIC?",,,,,,,,,,,
Garden 6,Garden 6 - Student 1,EVT_ev_n_Student_d_001,"(Garden06Right + (high_jump | (wall_grab + double_jump + (dodge | hook | wall_charge)))) 
| (Garden06Left + (high_jump | double_jump | hook + dodge + wall_grab))
| Garden06UpperDoor",Not Labbed,,"Garden06Right + (high_jump | wall_grab + double_jump + (hook | wall_charge)) 
| Garden06Left + (high_jump | double_jump)
| Garden06UpperDoor",From Right: STALL + wall_grab + (moon | snow),Skipping Students for now,,,,,,,,,,,
Garden 6,Garden 6 - Student 2,EVT_ev_n_Student_e_001,"(Garden06Right + (high_jump | (wall_grab + double_jump + (hook | wall_charge | dodge)))) 
| (Garden06Left + (high_jump | double_jump | hook + dodge + wall_grab))
| (Garden06UpperDoor + (high_jump | hook | WALL_DASH | double_jump + dodge))",Not Labbed,,"Garden06Right + (high_jump | wall_grab + double_jump + (hook | wall_charge | dodge)) 
| Garden06Left + (high_jump | double_jump | hook + dodge + wall_grab)
| Garden06UpperDoor + (high_jump | hook | WALL_DASH | double_jump + dodge)",From Right: STALL + wall_grab + (moon | snow),Skipping Students for now,,,,,,,,,,,
Forest 19,Forest 19 - Lever,forest19right_lever,Forest19LowerDoor,Done,,N/A,,,,,,,,,,,,,Forest 19 - Right Lever
Center 5,Center 5 - Lever,center05right_lever,Center05CenterDoor | Center05LeftDoor | Center05RightDoor,Done,,N/A,,,,,,,,,,,,,Center 5 - Right Lever
Estate 6,Estate 6 - Lever,estate06right_lever,Estate06Right,Done,,N/A,,,,,,,,,,,,,Estate 6 - Right Lever
Forest 2,Forest 2 - Lever,forest02right_lever,Forest02Right,Done,,N/A,,,,,,,,,,,,,Forest 2 - Right Lever
Forest 3,Forest 3 - Lever,forest03right_lever,Forest03LowerRightDoor,Done,,N/A,,,,,,,,,,,,,Forest 3 - Right Lever
