Room,Name,Actor,Item,Logic,Status,Comment,Aloha Suggested (Enhanced version),notes,TODO comments (delete when DONE)
Center 1,Center 1 - Origin Gem Core,Center_001_Zone_001.BP_Interactable_AddItem_C_1,"materials[""parts_lv6_a""]",Center02UpperRight + WALL_DASH,Done,Need wall dash from center02,N/A,,
Center 1,Center 1 - Huginn,Center_001_Zone_001.EVT_ev_n_Levy_Treasure3_002,"spirits[""s5080_hawk""]","(Center01Lower | Center01LowerLeft | Center01UpperLeft | Center01LeftDoor | Center01RightDoor) 
+ EVT_ev_s_e6050_Master_Defeat + quest_bird",Done,"Defeat Gilroy in center, meet tuner in Mines and have avian remains",N/A,,
Center 1,Center 1 - Gilroy,Center_001_Zone_001.EVT_ev_s_e6050_Master_Defeat,"aptitudes[""SP""]",Center01LowerLeft | Center01UpperLeft | Center01Lower | Center01RightDoor | Center01LeftDoor,Done,,N/A,,
Center 2,Center 2 - Mantle of Milius,Center_001_Zone_002.EVT_ev_n_Center_costume_001,"costumes[""p0030""]",Center02LowerRight + EVT_ev_s_e0030_Guard_Defeat + EVT_ev_s_e6050_Master_Defeat,Done,Defeat Gilroy in Center and save lil sis in Streets,N/A,,
Center 3,Center 3 - Charmed Fragment,Center_001_Zone_003.BP_Breakable_SpawnItem_Pod_01_C_1,"stats[""hp_up_s""]",Center03LeftDoor | Center03CenterLeftDoor,Done,,N/A,,
Center 4,Center 4 - Faintly Glowing Aegis Curio,Center_001_Zone_004.EVT_ev_n_Levy_Treasure6_002,"quests[""quest_amulet""]",(Center04Left | Center04RightDoor) + EVT_ev_s_LilyEvent_Roots_002 + quest_eye + quest_lithograph,Done,"Need to see Lily in Roots 2, have blighted eye and stele to get curio",N/A,,
Crossroad 2,Crossroad 2 - Charmed Fragment,Crossroad_001_Zone_002.BP_Interactable_AddItem_C_1,"stats[""hp_up_s""]","Crossroad02Left + (high_jump | dodge + double_jump | snow | (moon | axe | scythe) + (double_jump | dodge | grav + REIBOLG) | STALL + moon | flower + (axe | grav | double_jump) | flower + (sword | scythe) + WALL_DASH) 
| Crossroad02Right + (high_jump | double_jump | WALL_DASH | moon | snow | flower + (axe | grav) | dodge + (axe | scythe) | STALL + grav)",Done,,Finished,,double check REIBOLG
Crossroad 3,Crossroad 3 - Subterranean Laborer's Code,Crossroad_001_Zone_003.BP_Interactable_AddItem_C_1,"tips[""tip_workerscode_01""]",Crossroad03Left | Crossroad03Right,Done,,N/A,,
Crossroad 5,Crossroad 5 - Aerial Jump,Crossroad_001_Zone_005.EVT_ev_s_0050_LevyMeeting,"aptitudes[""double_jump""]",Crossroad05Left | Crossroad05Right,Done,,N/A,,
Crossroad 5,Crossroad 5 - Dodge,Crossroad_001_Zone_005.EVT_ev_s_0050_LevyMeeting.1,"aptitudes[""dodge""]",Crossroad05Left | Crossroad05Right,Done,,N/A,,
Estate 2,Estate 2 - Lorna 1,Estate_001_Zone_002.EVT_ev_s_n5040_Maiden_Defeat,"spirits[""s5040_maiden""]",Estate02Left | Estate02Upper | Estate02UpperRight | Estate02LowerRight,Done,,N/A,,
Estate 2,Estate 2 - Lorna 2,Estate_001_Zone_002.EVT_ev_s_n5040_Maiden_Defeat.1,"keys[""key_higher_a""]",Estate02Left | Estate02Upper | Estate02UpperRight | Estate02LowerRight,Done,,N/A,,
Estate 3,Estate 3 - Special Alloy Core,Estate_001_Zone_003.BP_Interactable_AddItem_C_0,"materials[""parts_lv5_a""]",Estate03UpperLeft | Estate03HiddenRight,Done,,N/A,,
Estate 4,Estate 4 - Abelia's Bracelet,Estate_001_Zone_004.BP_Interactable_AddItem_C_0,"equipments[""armor_014""]",Estate04Left,Done,,N/A,,
Estate 5,Estate 5 - Scrap,Estate_001_Zone_005.BP_Interactable_AddItem_C_0,"currencies[""rare""]",Estate05Lower,Done,,N/A,,
Estate 6,Estate 6 - Frost Confidential Records 2,Estate_001_Zone_006.BP_Interactable_AddItem_C_0,"tips[""tip_frostsrecord_02""]",Estate06Lower | Estate06Right,Done,,N/A,,
Estate 7,Estate 7 - Charmed Fragment,Estate_001_Zone_007.BP_Interactable_AddItem_C_0,"stats[""hp_up_s""]",Estate07UpperRight,Done,,N/A,,
