Room,Door,Lead to,Logic,Status,Comment,Aloha Suggested (Enhanced version),notes,TODO comments (delete when DONE)
Center 1,Center01LeftDoor,Center05CenterDoor,Center01LowerLeft | Center01Lower | Center01RightDoor | Center01UpperLeft,Done,,N/A,,
Center 1,Center01Lower,Street11Upper,(Center01LowerLeft | Center01LeftDoor | Center01RightDoor | Center01UpperLeft) + EVT_ev_s_0180_StreetElevatorFix,Done,,N/A,,
Center 1,Center01LowerLeft,Center02LowerRight,Center01Lower | Center01LeftDoor | Center01RightDoor | Center01UpperLeft,Done,,N/A,,
Center 1,Center01RightDoor,Center04RightDoor,Center01Lower | Center01LeftDoor | Center01LowerLeft | Center01UpperLeft,Done,,N/A,,
Center 1,Center01UpperLeft,Center02UpperRight,(Center01Lower | Center01LeftDoor | Center01LowerLeft | Center01RightDoor) + (high_jump | wall_grab + (wall_charge | axe | (scythe | sword) + grav | scythe + dodge | snow | moon | FLOWER2 | double_jump) | double_jump + ((scythe | axe) + (grav | moon + dodge | snow) | sword + grav + (dodge | RONIN)) | STALL + grav + dodge + snow | (scythe | axe) + dodge + grav + moon),Done,,Finished,,
Center 2,Center02LowerRight,Center01LowerLeft,None,Done,,N/A,,
Center 2,Center02UpperRight,Center01UpperLeft,None,Done,,N/A,,
Center 3,Center03CenterLeftDoor,Center05LeftDoor,Center03LeftDoor,Done,,N/A,,
Center 3,Center03CenterRightDoor,Center05RightDoor,Center03RightDoor,Done,,N/A,,
Center 3,Center03LeftDoor,Garden12RightDoor,Center03CenterLeftDoor,Done,,N/A,,
Center 3,Center03RightDoor,Kowloon01LeftDoor,Center03CenterRightDoor,Done,,N/A,,
Center 4,Center04Left,Center05Right,Center04RightDoor + Center05Right_Lever,Done,,N/A,,
Center 4,Center04RightDoor,Center01RightDoor,Center04Left,Done,,N/A,,
Center 5,Center05CenterDoor,Center01LeftDoor,Center05LeftDoor | Center05RightDoor,Done,,N/A,,
Center 5,Center05LeftDoor,Center03CenterLeftDoor,Center05CenterDoor | Center05RightDoor,Done,,N/A,,
Center 5,Center05Right,Center04Left,Center05CenterDoor | Center05LeftDoor | Center05RightDoor,Done,,N/A,,
Center 5,Center05RightDoor,Center03CenterRightDoor,Center05CenterDoor | Center05LeftDoor,Done,,N/A,,
Crossroad 1,Crossroad01Lower,Ruins13Upper,Crossroad01Right,Done,,N/A,,
Crossroad 1,Crossroad01Right,Crossroad04LowerLeft,Crossroad01Lower,Done,,N/A,,
Crossroad 2,Crossroad02Left,Crossroad05Right,Crossroad02Right + (double_jump | high_jump | wall_grab | STALL | RONIN | REIBOLG + (dodge | grav)),Done,might be leg enhancement relic impacts (untested),Finished,,
Crossroad 2,Crossroad02Right,Slum01Left,"Crossroad02Left + (high_jump | dodge + double_jump | snow | moon | (axe | scythe) + (double_jump | dodge | grav + REIBOLG) | sword + (double_jump | dodge) | flower + (STALL | grav | double_jump | dodge)) 
| Crossroad01Right + WALL_DASH",Done,"moon suffices while running

If we don't want running based logic, then its probably similar to flower

dash_charge + grav + leg enhancement + double_jump also!",Finished,,
Crossroad 3,Crossroad03Left,Mine01Right,Crossroad03Right,Done,,N/A,,
Crossroad 3,Crossroad03Right,Crossroad04UpperLeft,Crossroad03Left,Done,,N/A,,
Crossroad 4,Crossroad04LowerLeft,Crossroad01Right,Crossroad04Right | Crossroad04UpperLeft + key_lower,Done,,N/A,,
Crossroad 4,Crossroad04Right,Crossroad05Left,Crossroad04LowerLeft | Crossroad04UpperLeft + key_lower,Done,,N/A,,
Crossroad 4,Crossroad04UpperLeft,Crossroad03Right,(Crossroad04LowerLeft | Crossroad04Right) + key_lower,Done,,N/A,,
Crossroad 5,Crossroad05Left,Crossroad04Right,(Crossroad05Right | Crossroad05Respite) + (double_jump | high_jump | wall_grab | STALL + (grav | dodge) | RONIN | REIBOLG),Done,leg enhancement relic impacts,Finished,,
Crossroad 5,Crossroad05Respite,,Crossroad05Right | Crossroad05Left,Done,,N/A,,
Crossroad 5,Crossroad05Right,Crossroad02Left,(Crossroad05Left | Crossroad05Respite) + (double_jump | high_jump | wall_grab | RONIN | REIBOLG | STALL + grav | dodge + (axe | scythe)),Done,leg enhancement relic impacts - adds sword + dodge,Finished,,
Estate 1,Estate01Left,Estate07UpperRight,Estate01Lower + (high_jump + (moon | snow | flower + (grav | wall_grab) | STALL + (wall_grab | grav) | (scythe | axe) + dodge | double_jump + (dodge | REIBOLG | STALL | flower)) | wall_grab + STALL + grav + double_jump + (dodge | lazer + RONIN) | (scythe | axe) + dodge + double_jump + grav + (moon | snow) | WALL_DASH + (axe | (scythe | sword) + grav | scythe + dodge | snow | moon | FLOWER2 | double_jump | high_jump)),Done,,Finished,,
Estate 1,Estate01Lower,Estate08Upper,Estate01Left + dive,Done,,N/A,,
Estate 1,Estate01Right,Estate02Left,"(Estate01Left | Estate01Lower + (double_jump | WALL_DASH | moon | snow | FLOWER2 | wall_grab + (STALL | dive + dodge | flower) | STALL + grav | (scythe | axe) + dodge))
+ key_owner",Done,Left can now simply sprint,Finished,"wall_grab + dodge + dive -> underwater momentum jump

FLOWER2 is also easier with it but not required

sword + dive + dodge + pile_attack can also do it - havent been able to do without pile_attack",
Estate 2,Estate02Left,Estate01Right,Estate02LowerRight | Estate02Upper | Estate02UpperRight,Done,,N/A,,
Estate 2,Estate02LowerRight,Estate03CenterLeft,Estate02Left | Estate02Upper | Estate02UpperRight,Done,,N/A,,
Estate 2,Estate02Upper,Estate05Lower,(Estate02Left | Estate02LowerRight | Estate02UpperRight) + (high_jump | double_jump + WALL_DASH | wall_grab + STALL + grav + (double_jump + dodge | (dodge | double_jump) + lazer + (moon | snow))),Done,not fullllllly tested but confident?,Finished,,
Estate 2,Estate02UpperRight,Estate03UpperLeft,(Estate02Left | Estate02Upper | Estate02LowerRight) + (wall_grab + (axe | (scythe | sword) + grav | scythe + dodge | snow | moon | FLOWER2 | double_jump) | high_jump | STALL + grav + double_jump + (dodge | RONIN) | (scythe | axe) + grav + dodge + (moon | snow)),Done,"I dont want to entertain a REIBOLG option from Upper, sorry not sorry",Finished,,
Estate 3,Estate03CenterLeft,Estate02LowerRight,Estate03LowerLeft,Not Labbed,,N/A,,
Estate 3,Estate03HiddenRight,Estate04Left,Estate03UpperLeft,Not Labbed,,N/A,,
Estate 3,Estate03LowerLeft,Estate06Right,Estate03CenterLeft,Not Labbed,,N/A,,
Estate 3,Estate03UpperLeft,Estate02UpperRight,Estate03HiddenRight,Not Labbed,,N/A,,
Estate 4,Estate04Left,Estate03HiddenRight,None,Not Labbed,,N/A,,
Estate 5,Estate05Lower,Estate02Upper,None,Not Labbed,,N/A,,
Estate 6,Estate06Lower,Estate09Upper,Estate06Right + dive,Not Labbed,,N/A,,
Estate 6,Estate06Right,Estate03LowerLeft,Estate06Lower + Estate06Right_Lever,Not Labbed,,N/A,,
Estate 7,Estate07Lower,Estate12Upper,Estate07LowerRight + dive,Not Labbed,,N/A,,
Estate 7,Estate07LowerRight,Estate08Left,Estate07Lower + dive,Not Labbed,,N/A,,
Estate 7,Estate07UpperRight,Estate01Left,None,Not Labbed,,N/A,,
Estate 8,Estate08Left,Estate07LowerRight,(Estate08Upper | Estate08Right) + dive,Not Labbed,,N/A,,
Estate 8,Estate08Right,Estate09UpperLeft,(Estate08Upper | Estate08Left) + dive,Not Labbed,,N/A,,
Estate 8,Estate08Upper,Estate01Lower,(Estate08Left | Estate08Right) + dive,Not Labbed,,N/A,,
