Room,Door,Lead to,Logic,Status,Notes,,Original (before Aloha edits),Final Logic ?
Center 1,Center01LeftDoor,Center05CenterDoor,Center01LowerLeft | Center01Lower | Center01RightDoor | Center01UpperLeft,Done,,,,Center01LowerLeft | Center01Lower | Center01RightDoor | Center01UpperLeft
Center 1,Center01Lower,Street11Upper,Center01LowerLeft | Center01LeftDoor | Center01RightDoor | Center01UpperLeft,Done,,,,(Center01LowerLeft | Center01LeftDoor | Center01RightDoor | Center01UpperLeft) + EVT_ev_s_0180_StreetElevatorFix
Center 1,Center01LowerLeft,Center02LowerRight,Center01Lower | Center01LeftDoor | Center01RightDoor | Center01UpperLeft,Done,,,,Center01Lower | Center01LeftDoor | Center01RightDoor | Center01UpperLeft
Center 1,Center01RightDoor,Center04RightDoor,Center01Lower | Center01LeftDoor | Center01LowerLeft | Center01UpperLeft,Done,,,,Center01Lower | Center01LeftDoor | Center01LowerLeft | Center01UpperLeft
Center 1,Center01UpperLeft,Center02UpperRight,(Center01Lower | Center01LeftDoor | Center01LowerLeft | Center01RightDoor) + (double_jump + wall_grab | high_jump),Done,added double_jump + wall_grab | high_jump,"can WALL_DASH out of Central02LowerRight / Central01LowerLeft and then WALL_DASH back to UpperLeft

I think that WALL_DASH could be added since it also supports the item in Center01",Center01Lower | Center01LeftDoor | Center01LowerLeft | Center01RightDoor,(Center01Lower | Center01LeftDoor | Center01LowerLeft | Center01RightDoor) + (double_jump + wall_grab | high_jump)
Center 2,Center02LowerRight,Center01LowerLeft,None,Done,,,,None
Center 2,Center02UpperRight,Center01UpperLeft,None,Done,,,,None
Center 3,Center03CenterLeftDoor,Center05LeftDoor,Center03LeftDoor,Done,,,,Center03LeftDoor
Center 3,Center03CenterRightDoor,Center05RightDoor,Center03RightDoor,Done,,,,Center03RightDoor
Center 3,Center03LeftDoor,Garden12RightDoor,Center03CenterLeftDoor,Done,,,,Center03CenterLeftDoor
Center 3,Center03RightDoor,Kowloon01LeftDoor,Center03CenterRightDoor,Done,,,,Center03CenterRightDoor
Center 4,Center04Left,Center05Right,Center04RightDoor + Center05Right_Lever,Done,,,,Center04RightDoor + Center05Right_Lever
Center 4,Center04RightDoor,Center01RightDoor,Center04Left,Done,,,,Center04Left
Center 5,Center05CenterDoor,Center01LeftDoor,Center05LeftDoor | Center05RightDoor,Done,,,,Center05LeftDoor | Center05RightDoor
Center 5,Center05LeftDoor,Center03CenterLeftDoor,Center05CenterDoor | Center05RightDoor,Done,,,,Center05CenterDoor | Center05RightDoor
Center 5,Center05Right,Center04Left,Center05CenterDoor | Center05LeftDoor | Center05RightDoor,Done,,,,Center05CenterDoor | Center05LeftDoor | Center05RightDoor
Center 5,Center05RightDoor,Center03CenterRightDoor,Center05CenterDoor | Center05LeftDoor,Done,,,,Center05CenterDoor | Center05LeftDoor
Crossroad 1,Crossroad01Lower,Ruins13Upper,Crossroad01Right,Done,,,,Crossroad01Right
Crossroad 1,Crossroad01Right,Crossroad04LowerLeft,Crossroad01Lower,Done,,,,Crossroad01Lower
Crossroad 2,Crossroad02Left,Crossroad05Right,Crossroad02Right + (double_jump | high_jump | wall_grab),Done,,,,Crossroad02Right + (double_jump | high_jump | wall_grab)
Crossroad 2,Crossroad02Right,Slum01Left,"Crossroad02Left + (double_jump + dodge | high_jump)
| Crossroad01Right + WALL_DASH",Done,,,,"Crossroad02Left + (double_jump + dodge | high_jump)
| Crossroad01Right + WALL_DASH"
Crossroad 3,Crossroad03Left,Mine01Right,Crossroad03Right,Done,,,,Crossroad03Right
Crossroad 3,Crossroad03Right,Crossroad04UpperLeft,Crossroad03Left,Done,,,,Crossroad03Left
Crossroad 4,Crossroad04LowerLeft,Crossroad01Right,Crossroad04Right,Done,,,,Crossroad04Right | Crossroad04UpperLeft + key_lower
Crossroad 4,Crossroad04Right,Crossroad05Left,Crossroad04LowerLeft,Done,,,,Crossroad04LowerLeft | Crossroad04UpperLeft + key_lower
Crossroad 4,Crossroad04UpperLeft,Crossroad03Right,(Crossroad04LowerLeft | Crossroad04Right) + key_lower,Done,,,,(Crossroad04LowerLeft | Crossroad04Right) + key_lower
Crossroad 5,Crossroad05Left,Crossroad04Right,Crossroad05Right + (double_jump | high_jump | wall_grab),Done,wall_grab is jank but works,,,(Crossroad05Right | Crossroad05Respite) + (double_jump | high_jump | wall_grab)
Crossroad 5,Crossroad05Respite,,,Done,,,,Crossroad05Right | Crossroad05Left
Crossroad 5,Crossroad05Right,Crossroad02Left,Crossroad05Left + (double_jump | high_jump | wall_grab),Done,,,,(Crossroad05Left | Crossroad05Respite) + (double_jump | high_jump | wall_grab)
Estate 1,Estate01Left,Estate07UpperRight,Estate01Lower + (high_jump + double_jump + dodge | WALL_DASH + (double_jump | high_jump)) ,Done,,Added high_jump + WALL_DASH option,Estate01Lower + double_jump + ((high_jump + dodge) | WALL_DASH) ,Estate01Lower + (high_jump + double_jump + dodge | WALL_DASH + (double_jump | high_jump)) 
Estate 1,Estate01Lower,Estate08Upper,Estate01Left + dive,Done,"technically can pile_driver into Estate08 without dive, but will float back up :)",,,Estate01Left + dive
Estate 1,Estate01Right,Estate02Left,"(Estate01Left + (dodge | double_jump | WALL_DASH)
| Estate01Lower + (double_jump | WALL_DASH))
+ key_owner",Done,,Added WALL_DASH (no double_jump or dodge req.),(Estate01Left + dodge | Estate01Lower) + double_jump + key_owner,"(Estate01Left + (dodge | double_jump | WALL_DASH)
| Estate01Lower + (double_jump | WALL_DASH))
+ key_owner"
Estate 2,Estate02Left,Estate01Right,Estate02LowerRight | Estate02Upper | Estate02UpperRight,Done,,,,Estate02LowerRight | Estate02Upper | Estate02UpperRight
Estate 2,Estate02LowerRight,Estate03CenterLeft,Estate02Left | Estate02Upper | Estate02UpperRight,Done,,,,Estate02Left | Estate02Upper | Estate02UpperRight
Estate 2,Estate02Upper,Estate05Lower,(Estate02Left | Estate02LowerRight | Estate02UpperRight) + (high_jump | double_jump + WALL_DASH),Done,,,,(Estate02Left | Estate02LowerRight | Estate02UpperRight) + (high_jump | double_jump + WALL_DASH)
Estate 2,Estate02UpperRight,Estate03UpperLeft,(Estate02Left | Estate02Upper | Estate02LowerRight) + (double_jump + wall_grab | high_jump),Done,,,,(Estate02Left | Estate02Upper | Estate02LowerRight) + (double_jump + wall_grab | high_jump)
Estate 3,Estate03CenterLeft,Estate02LowerRight,Estate03LowerLeft,Done,,,,Estate03LowerLeft
Estate 3,Estate03HiddenRight,Estate04Left,Estate03UpperLeft,Done,,Added Estate03UpperLeft,None,Estate03UpperLeft
Estate 3,Estate03LowerLeft,Estate06Right,Estate03CenterLeft,Done,,,,Estate03CenterLeft
Estate 3,Estate03UpperLeft,Estate02UpperRight,Estate03HiddenRight,Done,,,,Estate03HiddenRight
Estate 4,Estate04Left,Estate03HiddenRight,None,Done,,,,None
